regio2,baseRent,totalRent,livingSpace,noRooms,balcony,hasKitchen,yearConstructed,price_per_sqm
Dortmund,595.0,840.0,86.0,4.0,False,False,1965.0,6.9186046511627906
Gelsenkirchen,300.0,,60.0,2.5,False,False,1953.0,5.0
Hamm,950.0,1150.0,123.44,4.0,False,False,1951.0,7.696046662346079
Dortmund,972.6,1320.65,87.0,3.0,True,False,2018.0,11.179310344827586
Duisburg,329.0,,65.0,2.5,True,False,1914.0,5.061538461538461
Mettmann_Kreis,315.18,445.18,60.0,2.0,True,False,1976.0,5.253
Rheinisch_Bergischer_Kreis,250.0,350.0,36.0,1.5,False,False,,6.944444444444445
Essen,400.0,570.0,70.0,3.5,False,False,,5.714285714285714
Hochsauerlandkreis,553.98,753.98,87.33,3.0,True,True,1994.0,6.343524562006184
Unna_Kreis,400.0,,65.0,2.0,False,True,1975.0,6.153846153846154
Dortmund,396.8,493.8,62.0,2.0,False,False,1958.0,6.4
Wuppertal,375.0,465.0,55.64,2.0,False,False,1950.0,6.739755571531273
Hochsauerlandkreis,450.0,540.0,90.0,3.0,True,True,,5.0
Viersen_Kreis,465.0,,61.0,2.0,True,False,1999.0,7.622950819672131
Düsseldorf,1030.0,1323.0,100.59,4.0,True,False,2019.0,10.239586440003976
Duisburg,335.0,,62.99,3.0,False,False,1972.0,5.318304492776631
Rhein_Erft_Kreis,500.0,650.0,50.0,1.5,True,True,,10.0
Mülheim_an_der_Ruhr,680.0,930.0,103.0,3.0,False,False,1905.0,6.601941747572815
Aachen_Kreis,300.0,480.0,51.0,2.0,True,False,1970.0,5.882352941176471
Heinsberg_Kreis,690.0,,82.0,3.0,True,False,2018.0,8.414634146341463
Remscheid,285.12,412.32,54.0,2.0,True,False,1964.0,5.28
Mülheim_an_der_Ruhr,555.0,,96.0,3.0,True,False,,5.78125
Wuppertal,600.0,700.0,90.0,3.0,False,False,,6.666666666666667
Bielefeld,890.0,1080.0,110.0,3.0,False,True,,8.090909090909092
Aachen,470.0,570.0,55.0,2.0,False,False,1960.0,8.545454545454545
Höxter_Kreis,290.0,390.0,58.0,3.0,False,False,1936.0,5.0
Bielefeld,989.0,1212.0,111.55,2.5,True,False,2018.0,8.8659793814433
Hamm,389.0,,65.0,3.0,True,False,1962.0,5.984615384615385
Dortmund,310.0,460.0,55.0,2.0,False,False,1930.0,5.636363636363637
Dortmund,301.0,,30.07,1.5,False,False,1979.0,10.009976720984369
Gelsenkirchen,395.0,520.0,67.0,3.0,False,False,,5.895522388059701
Hamm,345.0,,71.04,3.0,False,False,1970.0,4.856418918918918
Paderborn_Kreis,710.0,940.0,74.5,3.0,True,False,2020.0,9.53020134228188
Düren_Kreis,340.0,,50.0,2.0,False,False,1962.0,6.8
Dortmund,1550.0,2205.0,148.0,3.0,True,False,2015.0,10.472972972972974
Essen,432.0,,58.0,2.0,False,False,1990.0,7.448275862068965
Rheinisch_Bergischer_Kreis,720.0,720.0,96.0,3.0,False,False,,7.5
Borken_Kreis,495.0,540.0,50.0,3.0,False,True,1950.0,9.9
Bielefeld,556.35,763.35,74.18,2.0,True,False,2020.0,7.5
Krefeld,845.0,1015.0,56.0,2.0,True,False,2019.0,15.089285714285714
Wesel_Kreis,685.0,890.0,82.0,3.0,False,False,1910.0,8.353658536585366
Recklinghausen_Kreis,325.0,475.0,58.0,2.0,False,False,1968.0,5.603448275862069
