hochschulort,wohnheime_2025_anzahl,wohnheimplaetze_2025,studierende_ws_2024_2025,studierende_je_wohnheimplatz_2025
Aalen,7,531,4117,8
Albstadt,2,82,1392,17
Bad Mergentheim 4),2,35,550,16
Biberach,1,64,2122,33
Esslingen 5),5,857,4807,6
Freiburg,57,6649,32523,5
Friedrichshafen,1,197,1708,9
Furtwangen,5,291,2458,8
Geislingen,4,244,3020,12
Göppingen 5),1,128,1040,8
Heidelberg 6),61,6652,32346,5
Heilbronn 7),3,454,9031,20
Hohenheim,8,1214,8239,7
Karlsruhe,29,4371,36857,8
Kehl,2,343,1287,4
Konstanz,19,3351,14316,4
Ludwigsburg 8),4,1619,10046,6
Mannheim 6),17,3268,27000,8
Mosbach 4),2,103,2589,25
Nürtingen,2,302,2206,7
Offenburg,4,246,3641,15
Pforzheim,4,669,5574,8
Ravensburg 9),3,260,5516,21
Reutlingen,4,914,5261,6
Rottenburg,2,46,898,20
Schwäbisch-Gmünd,2,297,3218,11
Sigmaringen,1,77,1218,16
Stuttgart,22,6335,38534,6
Trossingen,-,73,434,6
Tübingen,28,4477,28258,6
Ulm,12,1759,12576,7
Villingen-Schwenningen,3,135,4206,31
Weingarten 9),4,702,2985,4
"Baden-Württemberg 
insgesamt",321,46745,317790,7
Amberg,3,175,1570,9
Ansbach,2,175,3993,23
Aschaffenburg,2,265,3778,14
Augsburg,15,2764,27087,10
Bamberg,11,1523,10616,7
Bayreuth 10),12,1840,11342,6
Benediktbeuern 11),1,50,493,10
Cham 12),1,8,560,70
Coburg,8,634,4648,7
Deggendorff 12),7,468,6705,14
Eichstätt,7,422,3936,9
Erlangen,27,3322,30562,9
Garching,2,222,23067,104
Hof 13),4,384,3763,10
Ingolstadt,20,740,8767,12
Kempten,11,480,4643,10
Kulmbach 10),1,51,371,7
Landshut,4,565,4916,9
München 11),51,11459,114290,10
Neuendettelsau,1,76,106,1
Neu-Ulm,1,151,4133,27
Nürnberg,13,1850,25562,14
Passau,8,1035,10683,10
Regensburg,19,2884,31756,11
Rosenheim,3,518,5637,11
Rottal-Inn/ Pfarrkirchen,1,60,1589,26
Schweinfurt,5,379,3144,8
Straubing,1,16,1309,82
Triesdorf,8,189,2030,11
Weiden,3,171,2635,15
Weihenstephan 14),3,838,8539,10
Würzburg,25,3946,32587,8
Bayern insgesamt,280,37660,401412,11
Berlin insgesamt,31,9120,179270,20
Brandenburg,2,295,2487,8
Cottbus 15),4,1632,5984,3
Eberswalde,3,395,2281,6
Frankfurt/Oder,6,1318,3932,3
Postdam,28,2439,24307,10
