hochschulort,wohnheime_2025_anzahl,wohnheimplaetze_2025,studierende_ws_2024_2025,studierende_je_wohnheimplatz_2025,wohnheimplatzrelation
Aachen,35.0,5460.0,56493.0,10.0,0.1
Bielefeld,25.0,3193.0,31399.0,10.0,0.1
Bochum,37.0,5594.0,49371.0,9.0,0.1111111111111111
Bonn,35.0,4053.0,34744.0,9.0,0.1111111111111111
Dortmund,13.0,2765.0,42769.0,15.0,0.06666666666666667
Duisburg,8.0,950.0,13015.0,14.0,0.07142857142857142
Düsseldorf,20.0,3597.0,40820.0,11.0,0.09090909090909091
Essen,11.0,1747.0,26060.0,15.0,0.06666666666666667
Gelsenkirchen,1.0,152.0,3956.0,26.0,0.038461538461538464
Hagen,1.0,31.0,2172.0,70.0,0.014285714285714285
Köln,96.0,5487.0,75655.0,14.0,0.07142857142857142
Krefeld,1.0,199.0,4959.0,25.0,0.04
Mönchengladbach,4.0,252.0,8010.0,32.0,0.03125
Münster,28.0,5997.0,54107.0,9.0,0.1111111111111111
Paderborn,6.0,1843.0,18135.0,10.0,0.1
Siegen,15.0,1043.0,14439.0,14.0,0.07142857142857142
Wuppertal,7.0,1217.0,20883.0,17.0,0.058823529411764705
