hochschulort,wohnheime_2025_anzahl,wohnheimplaetze_2025,studierende_ws_2024_2025,studierende_je_wohnheimplatz_2025,wohnheimplatzrelation
Aachen,35.0,5460.0,56493.0,10.0,10.346703296703296
Bielefeld,25.0,3193.0,31399.0,10.0,9.833698715941122
Bochum,37.0,5594.0,49371.0,9.0,8.825706113693244
Bonn,35.0,4053.0,34744.0,9.0,8.572415494695287
Dortmund,13.0,2765.0,42769.0,15.0,15.467992766726944
Duisburg,8.0,950.0,13015.0,14.0,13.7
Düsseldorf,20.0,3597.0,40820.0,11.0,11.348345843758688
Essen,11.0,1747.0,26060.0,15.0,14.917000572409846
Gelsenkirchen,1.0,152.0,3956.0,26.0,26.026315789473685
Hagen,1.0,31.0,2172.0,70.0,70.06451612903226
Köln,96.0,5487.0,75655.0,14.0,13.788044468744305
Krefeld,1.0,199.0,4959.0,25.0,24.91959798994975
Mönchengladbach,4.0,252.0,8010.0,32.0,31.785714285714285
Münster,28.0,5997.0,54107.0,9.0,9.022344505586126
Paderborn,6.0,1843.0,18135.0,10.0,9.839934888768312
Siegen,15.0,1043.0,14439.0,14.0,13.843720038350911
Wuppertal,7.0,1217.0,20883.0,17.0,17.159408381265408
